database,chunk_size,overlap,clean,embedding,chunks_processed,time_to_process,used_memory_mb,query_time
redis,100,0,True,nomic-embed-text,415,10.42969799041748,6.9394378662109375,9.210070133209229
redis,100,0,False,nomic-embed-text,423,10.188590049743652,7.0044403076171875,9.450322151184082
redis,100,0,True,mxbai-embed-large,415,11.470969915390015,3.6448822021484375,11.935678958892822
redis,100,0,False,mxbai-embed-large,423,15.373759031295776,3.713348388671875,11.927753925323486
redis,100,0,True,bge-m3,415,15.408778190612793,3.6617889404296875,11.489006996154785
redis,100,0,False,bge-m3,423,15.34208607673645,3.713592529296875,10.42988634109497
redis,100,50,True,nomic-embed-text,637,21.63651704788208,8.045181274414062,12.117027044296265
redis,100,50,False,nomic-embed-text,669,25.03839111328125,8.221397399902344,12.145037174224854
redis,100,50,True,mxbai-embed-large,637,22.995177030563354,4.7752227783203125,11.896575927734375
redis,100,50,False,mxbai-embed-large,669,24.021804809570312,4.94415283203125,10.918168783187866
redis,100,50,True,bge-m3,637,22.96661400794983,4.7754974365234375,10.984898805618286
redis,100,50,False,bge-m3,669,24.922327041625977,4.9449310302734375,11.432292222976685
redis,300,0,True,nomic-embed-text,303,10.009164094924927,6.497886657714844,11.949413061141968
redis,300,0,False,nomic-embed-text,305,9.989721059799194,6.555839538574219,10.916146039962769
redis,300,0,True,mxbai-embed-large,303,10.89239501953125,3.1752166748046875,10.969611883163452
redis,300,0,False,mxbai-embed-large,305,12.237750768661499,3.200347900390625,10.586094856262207
redis,300,0,True,bge-m3,303,12.409918785095215,3.175201416015625,10.711844205856323
redis,300,0,False,bge-m3,305,12.580214023590088,3.2003326416015625,10.031896114349365
redis,300,50,True,nomic-embed-text,315,9.521903991699219,6.5988311767578125,10.563584089279175
redis,300,50,False,nomic-embed-text,317,9.426484107971191,6.6405487060546875,10.723799228668213
redis,300,50,True,mxbai-embed-large,315,11.885242223739624,3.2477264404296875,10.010441064834595
redis,300,50,False,mxbai-embed-large,317,12.504714012145996,3.2740478515625,10.312461137771606
redis,300,50,True,bge-m3,315,12.272435903549194,3.248138427734375,10.335669994354248
redis,300,50,False,bge-m3,317,12.690106868743896,3.27423095703125,9.972193956375122
redis,300,100,True,nomic-embed-text,329,9.70684814453125,6.703697204589844,10.743289232254028
redis,300,100,False,nomic-embed-text,332,10.333718061447144,6.771400451660156,10.66262698173523
redis,300,100,True,mxbai-embed-large,329,12.598827838897705,3.335418701171875,9.663073062896729
redis,300,100,False,mxbai-embed-large,332,12.348616123199463,3.3687057495117188,9.400715827941895
redis,300,100,True,bge-m3,329,12.551929712295532,3.3353424072265625,10.396384954452515
redis,300,100,False,bge-m3,332,13.436228036880493,3.3688735961914062,9.827070951461792
redis,500,0,True,nomic-embed-text,290,9.096808195114136,6.4521026611328125,11.331310033798218
redis,500,0,False,nomic-embed-text,290,9.451122999191284,6.501983642578125,11.236778974533081
redis,500,0,True,mxbai-embed-large,290,10.916087627410889,3.1203231811523438,10.61487102508545
redis,500,0,False,mxbai-embed-large,290,11.773545980453491,3.1366500854492188,10.642819166183472
redis,500,0,True,bge-m3,290,10.691361904144287,3.1202316284179688,9.765374898910522
redis,500,0,False,bge-m3,290,11.957569122314453,3.1364669799804688,10.90988802909851
